theme,ticker,snapshot_date,retrieved_at
activewear,AS,20260416,2026-04-16T22:32:57.080623
activewear,BIRK,20260416,2026-04-16T22:32:57.080623
activewear,DECK,20260416,2026-04-16T22:32:57.080623
activewear,LULU,20260416,2026-04-16T22:32:57.080623
activewear,NKE,20260416,2026-04-16T22:32:57.080623
activewear,ONON,20260416,2026-04-16T22:32:57.080623
ad-tech,APP,20260416,2026-04-16T22:32:57.080623
ad-tech,DV,20260416,2026-04-16T22:32:57.080623
ad-tech,MGNI,20260416,2026-04-16T22:32:57.080623
ad-tech,TTD,20260416,2026-04-16T22:32:57.080623
ad-tech,U,20260416,2026-04-16T22:32:57.080623
ad-tech,ZETA,20260416,2026-04-16T22:32:57.080623
advertising-platforms,GOOGL,20260416,2026-04-16T22:32:57.080623
advertising-platforms,META,20260416,2026-04-16T22:32:57.080623
advertising-platforms,PINS,20260416,2026-04-16T22:32:57.080623
advertising-platforms,RDDT,20260416,2026-04-16T22:32:57.080623
advertising-platforms,ROKU,20260416,2026-04-16T22:32:57.080623
advertising-platforms,SNAP,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,ACA,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,CRH,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,EXP,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,KNF,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,MLM,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,USLM,20260416,2026-04-16T22:32:57.080623
aggregates-concrete,VMC,20260416,2026-04-16T22:32:57.080623
agribusiness,ADM,20260416,2026-04-16T22:32:57.080623
agribusiness,BG,20260416,2026-04-16T22:32:57.080623
ai-infrastructure-software,DDOG,20260416,2026-04-16T22:32:57.080623
ai-infrastructure-software,MDB,20260416,2026-04-16T22:32:57.080623
ai-infrastructure-software,PATH,20260416,2026-04-16T22:32:57.080623
ai-infrastructure-software,SNOW,20260416,2026-04-16T22:32:57.080623
ai-pharma,ABSI,20260416,2026-04-16T22:32:57.080623
ai-pharma,CERT,20260416,2026-04-16T22:32:57.080623
ai-pharma,GH,20260416,2026-04-16T22:32:57.080623
ai-pharma,RLAY,20260416,2026-04-16T22:32:57.080623
ai-pharma,RXRX,20260416,2026-04-16T22:32:57.080623
ai-pharma,SDGR,20260416,2026-04-16T22:32:57.080623
ai-pharma,TEM,20260416,2026-04-16T22:32:57.080623
ai-semiconductor-core,AMD,20260416,2026-04-16T22:32:57.080623
ai-semiconductor-core,AVGO,20260416,2026-04-16T22:32:57.080623
ai-semiconductor-core,MRVL,20260416,2026-04-16T22:32:57.080623
ai-semiconductor-core,MU,20260416,2026-04-16T22:32:57.080623
ai-semiconductor-core,NVDA,20260416,2026-04-16T22:32:57.080623
ai-server-odm,FLEX,20260416,2026-04-16T22:32:57.080623
ai-server-odm,JBL,20260416,2026-04-16T22:32:57.080623
ai-server-odm,SANM,20260416,2026-04-16T22:32:57.080623
airlines-lcc,ALK,20260416,2026-04-16T22:32:57.080623
airlines-lcc,LUV,20260416,2026-04-16T22:32:57.080623
airlines-legacy,AAL,20260416,2026-04-16T22:32:57.080623
airlines-legacy,DAL,20260416,2026-04-16T22:32:57.080623
airlines-legacy,UAL,20260416,2026-04-16T22:32:57.080623
alcoholic-beverages,ABEV,20260416,2026-04-16T22:32:57.080623
alcoholic-beverages,BUD,20260416,2026-04-16T22:32:57.080623
alcoholic-beverages,DEO,20260416,2026-04-16T22:32:57.080623
alcoholic-beverages,STZ,20260416,2026-04-16T22:32:57.080623
alcoholic-beverages,TAP,20260416,2026-04-16T22:32:57.080623
alminium,AA,20260416,2026-04-16T22:32:57.080623
alminium,CENX,20260416,2026-04-16T22:32:57.080623
american-casual,AEO,20260416,2026-04-16T22:32:57.080623
american-casual,ANF,20260416,2026-04-16T22:32:57.080623
american-casual,GAP,20260416,2026-04-16T22:32:57.080623
american-casual,LEVI,20260416,2026-04-16T22:32:57.080623
american-casual,URBN,20260416,2026-04-16T22:32:57.080623
american-casual,VFC,20260416,2026-04-16T22:32:57.080623
analog-semi-comm,QRVO,20260416,2026-04-16T22:32:57.080623
analog-semi-comm,SWKS,20260416,2026-04-16T22:32:57.080623
analog-semi-generic,ADI,20260416,2026-04-16T22:32:57.080623
analog-semi-generic,DIOD,20260416,2026-04-16T22:32:57.080623
analog-semi-generic,TXN,20260416,2026-04-16T22:32:57.080623
analog-semi-power,MPWR,20260416,2026-04-16T22:32:57.080623
analog-semi-power,ON,20260416,2026-04-16T22:32:57.080623
analog-semi-sensor,ALGM,20260416,2026-04-16T22:32:57.080623
analog-semi-sensor,MCHP,20260416,2026-04-16T22:32:57.080623
analog-semi-sensor,NXPI,20260416,2026-04-16T22:32:57.080623
analog-semi-sensor,SLAB,20260416,2026-04-16T22:32:57.080623
apple-intelligence,AAPL,20260416,2026-04-16T22:32:57.080623
apple-intelligence,AMKR,20260416,2026-04-16T22:32:57.080623
apple-intelligence,ARM,20260416,2026-04-16T22:32:57.080623
apple-intelligence,GLW,20260416,2026-04-16T22:32:57.080623
apple-intelligence,SWKS,20260416,2026-04-16T22:32:57.080623
apple-intelligence,TSM,20260416,2026-04-16T22:32:57.080623
auto-maintenance,AZO,20260416,2026-04-16T22:32:57.080623
auto-maintenance,GPC,20260416,2026-04-16T22:32:57.080623
auto-maintenance,ORLY,20260416,2026-04-16T22:32:57.080623
auto-parts,ALV,20260416,2026-04-16T22:32:57.080623
auto-parts,APTV,20260416,2026-04-16T22:32:57.080623
