theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
space-infrastructure,宇宙：インフラ,1,資本財,-1864132786384940093,4,20260416,2026-04-16T22:32:57.178853
earth-observation,宇宙：地球観測,2,資本財,-6560645129756472109,4,20260416,2026-04-16T22:32:57.178853
lithium,リチウム,3,素材,6621030985293784804,10,20260416,2026-04-16T22:32:57.178853
analog-semi-power,アナログ半導体：パワー,4,テクノロジー,1562966027836712554,2,20260416,2026-04-16T22:32:57.178853
server-brand,AIサーバ：自社ブランド,5,テクノロジー,5798299690150393046,3,20260416,2026-04-16T22:32:57.178853
cdn,CDN,6,テクノロジー,-5642410755634219354,3,20260416,2026-04-16T22:32:57.178853
cable-tv,ケーブルTV,7,通信,8306432188751766431,2,20260416,2026-04-16T22:32:57.178853
trucking-intermodal,トラック輸送,8,資本財,3159129627177590428,3,20260416,2026-04-16T22:32:57.178853
cpu,CPU,9,テクノロジー,-6847864444074492695,3,20260416,2026-04-16T22:32:57.178853
eVTOL,eVTOL,10,テクノロジー,-8668807127880845542,5,20260416,2026-04-16T22:32:57.178853
semi-consumables,半導体：材料・消耗品,11,テクノロジー,7013764258806302075,6,20260416,2026-04-16T22:32:57.178853
re-tech,不動産テック,12,不動産,-6602826288091596158,2,20260416,2026-04-16T22:32:57.178853
dc-optical-device,光接続：インフラ,13,テクノロジー,8439041754312130664,9,20260416,2026-04-16T22:32:57.178853
ai-server-odm,AIサーバ：受託製造,14,テクノロジー,836906969040377340,3,20260416,2026-04-16T22:32:57.178853
satellite-communications,宇宙：衛星通信,15,資本財,-537458740107561793,5,20260416,2026-04-16T22:32:57.178853
chinese-ev,中国EV,16,消費者一般,-2375201732209460769,3,20260416,2026-04-16T22:32:57.178853
storage-solutions,ストレージ ソリュション,17,テクノロジー,-3064060107625125163,2,20260416,2026-04-16T22:32:57.178853
graphite,グラファイト,18,素材,4481678099302042092,4,20260416,2026-04-16T22:32:57.178853
mobile-telecom,モバイル通信,19,通信,5011783537896821513,3,20260416,2026-04-16T22:32:57.178853
logistics-air-freight,物流サービス,20,資本財,6235125013931486220,5,20260416,2026-04-16T22:32:57.178853
oil-supermajors-non-us,スーパーメジャー：米国外,21,エネルギー,1270228145512983342,4,20260416,2026-04-16T22:32:57.178853
cybersecurity-end,サイバー：端末保護,22,テクノロジー,3054107979036098454,2,20260416,2026-04-16T22:32:57.178853
cybersecurity-cloud,サイバー：クラウド,23,テクノロジー,-2507929732383594866,2,20260416,2026-04-16T22:32:57.178853
semi-equip-back,半導体製造装置：後工程,24,テクノロジー,6321665319757030605,5,20260416,2026-04-16T22:32:57.178853
openai-related,OpenAI関連,25,テクノロジー,3321544429454981930,5,20260416,2026-04-16T22:32:57.178853
analog-semi-generic,アナログ半導体：汎用,26,テクノロジー,8140982882869567938,3,20260416,2026-04-16T22:32:57.178853
soft-enterprise,ソフト：エンタープライズ,27,テクノロジー,-1101865403894672510,4,20260416,2026-04-16T22:32:57.178853
next-gen-power-supply,次世代電源,28,テクノロジー,7438964885485141187,6,20260416,2026-04-16T22:32:57.178853
offshore-drilling,海洋掘削サービス,29,エネルギー,-8685417808458315700,3,20260416,2026-04-16T22:32:57.178853
commodity-chemicals,化学：汎用,30,素材,-1727924419654101913,2,20260416,2026-04-16T22:32:57.178853
refinary,石油精製,31,エネルギー,2581242163405769855,7,20260416,2026-04-16T22:32:57.178853
dc-optical-ems,光接続：トランシーバ,32,テクノロジー,6279360007009879208,5,20260416,2026-04-16T22:32:57.178853
humanoid-bones,人型ロボ：筋骨・神経,33,テクノロジー,5627522196206647448,6,20260416,2026-04-16T22:32:57.178853
