strategy,theme,theme_name,rank,a4_pick,a5_pick,snrb_pick,def_pick,w5b_weight,beast_weight,def_weight,gate_state,snapshot_date,retrieved_at
prism-r,gas-fracking,天然ガス掘削：米,1,PTEN,PTEN,PTEN,HP,0.097,0.097,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,oil-supermajors-non-us,スーパーメジャー：米国外,2,PBR,PBR,PBR,BP,0.0775,0.0775,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,refinary,石油精製,3,PARR,PARR,PARR,PARR,0.0891,0.0891,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,infra-contractors,電気工事・施工,4,MTZ,MTZ,MTZ,STRL,0.0953,0.0953,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,dc-optical-device,光接続：インフラ,5,AAOI,AAOI,VIAV,LITE,0.1589,0.1589,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,semi-consumables,半導体：材料・消耗品,6,AXTI,AXTI,AXTI,AXTI,0.1166,0.1166,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,semi-component,半導体製造装置：部品,7,ICHR,ICHR,UCTT,AEIS,0.1342,0.1342,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,pub-construction-electric,インフラ工事：電力/通信,8,MYRG,MYRG,MYRG,DY,0.089,0.089,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,heat-infra,熱管理インフラ,9,MOD,MOD,MOD,FLEX,0.0831,0.0831,0.1,,20260414,2026-04-14T22:39:31.213346
prism-r,power-supply-regulated,電力：規制事業者,10,NRG,ETR,ETR,D,0.0592,0.0592,0.1,,20260414,2026-04-14T22:39:31.213346
prism-g2,dc-optical-device,光接続：インフラ,,AAOI,,,,0.1918,0.1918,,,20260414,2026-04-14T22:39:31.213346
prism-g2,semi-component,半導体製造装置：部品,,ICHR,,,,0.162,0.162,,,20260414,2026-04-14T22:39:31.213346
prism-g2,data-storage,データストレージ,,SNDK,,,,0.2988,0.2988,,,20260414,2026-04-14T22:39:31.213346
prism-g2,earth-observation,宇宙：地球観測,,SPIR,,,,0.128,0.128,,,20260414,2026-04-14T22:39:31.213346
prism-g2,foundry,半導体受託製造,,TSEM,,,,0.1185,0.1185,,,20260414,2026-04-14T22:39:31.213346
prism-g2,dc-transformer,DC変圧器・スイッチギア,,POWL,,,,0.1007,0.1007,,,20260414,2026-04-14T22:39:31.213346
prism,トラック輸送,トラック輸送,1,MTZ,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,インフラ工事：電力/通信,インフラ工事：電力/通信,2,DY,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,多角化資源,多角化資源,3,XPO,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,電気工事・施工,電気工事・施工,4,ODFL,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,電源インフラ,電源インフラ,5,VALE,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,掘削サービス,掘削サービス,6,BHP,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,資本財リース,資本財リース,7,SLB,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,8,BKR,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,9,FTAI,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,10,AER,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,11,FIX,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,12,HUBB,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
prism,,,13,ETN,,,,0.0385,,,MID,20260414,2026-04-14T22:39:31.213346
