date,equity,port_ret,peak,dd,ym
2002-08-02,1001965.2,0.0019651651,1001965.2,0.0,2002-08
2002-08-05,1003561.8,0.0015934706,1003561.8,0.0,2002-08
2002-08-06,1001105.44,-0.0024476647,1003561.8,-0.0024476647,2002-08
2002-08-07,1002579.2,0.0014721155,1003561.8,-0.0009791255,2002-08
2002-08-08,1001105.44,-0.0014699697,1003561.8,-0.0024476647,2002-08
2002-08-09,1001351.06,0.00024533272,1003561.8,-0.002202928,2002-08
2002-08-12,1001228.25,-0.00012266636,1003561.8,-0.0023252964,2002-08
2002-08-13,1002947.8,0.0017174482,1003561.8,-0.0006118417,2002-08
2002-08-14,1000737.0,-0.002204299,1003561.8,-0.0028147697,2002-08
2002-08-15,999877.3,-0.00085908175,1003561.8,-0.0036714077,2002-08
2002-08-16,999263.2,-0.00061422586,1003561.8,-0.0042833686,2002-08
2002-08-19,999386.1,0.00012302399,1003561.8,-0.004160881,2002-08
2002-08-20,1001719.6,0.0023349524,1003561.8,-0.0018356442,2002-08
2002-08-21,1000859.9,-0.0008582473,1003561.8,-0.0026923418,2002-08
2002-08-22,999754.5,-0.0011044145,1003561.8,-0.003793776,2002-08
2002-08-23,1000982.6,0.0012284517,1003561.8,-0.002570033,2002-08
2002-08-26,1000859.8,-0.00012266636,1003561.8,-0.0026924014,2002-08
2002-08-27,1000122.94,-0.0007362366,1003561.8,-0.003426671,2002-08
2002-08-28,1000859.9,0.0007368326,1003561.8,-0.0026923418,2002-08
2002-08-29,1001965.3,0.0011044741,1003561.8,-0.001590848,2002-08
2002-08-30,1002333.8,0.00036776066,1003561.8,-0.0012236238,2002-08
2002-09-03,1004702.75,0.0023634434,1004702.75,0.0,2002-09
2002-09-04,1004333.6,-0.00036740303,1004702.75,-0.00036740303,2002-09
2002-09-05,1005440.9,0.0011024475,1005440.9,0.0,2002-09
2002-09-06,1003472.5,-0.0019577146,1005440.9,-0.0019577146,2002-09
2002-09-09,1002119.25,-0.0013485551,1005440.9,-0.003303647,2002-09
2002-09-10,1002734.4,0.00061380863,1005440.9,-0.002691865,2002-09
2002-09-11,1002119.25,-0.000613451,1005440.9,-0.003303647,2002-09
2002-09-12,1002857.3,0.000736475,1005440.9,-0.0025695562,2002-09
2002-09-13,1003595.56,0.00073611736,1005440.9,-0.0018353462,2002-09
2002-09-16,1003226.56,-0.00036770105,1005440.9,-0.002202332,2002-09
2002-09-17,1003964.56,0.0007356405,1005440.9,-0.0014683008,2002-09
2002-09-18,1003841.5,-0.00012254715,1005440.9,-0.0015907288,2002-09
2002-09-19,1005932.8,0.0020833015,1005932.8,0.0,2002-09
2002-09-20,1006055.9,0.00012230873,1006055.9,0.0,2002-09
2002-09-23,1006302.0,0.00024461746,1006302.0,0.0,2002-09
2002-09-24,1006793.94,0.0004888773,1006793.94,0.0,2002-09
2002-09-25,1005809.75,-0.0009775162,1006793.94,-0.0009775758,2002-09
2002-09-26,1006178.8,0.0003669262,1006793.94,-0.0006109476,2002-09
2002-09-27,1008270.06,0.002078414,1008270.06,0.0,2002-09
2002-09-30,1009746.3,0.0014641285,1009746.3,0.0,2002-09
2002-10-01,1008512.0,-0.001222372,1009746.3,-0.001222372,2002-10
2002-10-02,1009346.8,0.00082783704,1009746.3,-0.00039565563,2002-10
2002-10-03,1008276.9,-0.001060015,1009746.3,-0.0014552474,2002-10
2002-10-04,998166.94,-0.010026932,1009746.3,-0.011467636,2002-10
2002-10-07,998309.4,0.00014275307,1009746.3,-0.011326551,2002-10
2002-10-08,1006418.44,0.008122832,1009746.3,-0.0032957792,2002-10
2002-10-09,1004739.44,-0.0016682566,1009746.3,-0.00495857,2002-10
2002-10-10,1007809.9,0.0030559362,1009746.3,-0.0019177198,2002-10
2002-10-11,1010295.94,0.0024668397,1010295.94,0.0,2002-10
2002-10-14,1018417.44,0.008038808,1018417.44,0.0,2002-10
2002-10-15,1021149.6,0.0026827874,1021149.6,0.0,2002-10
2002-10-16,1022304.4,0.0011307956,1022304.4,0.0,2002-10
2002-10-17,1028144.06,0.005712235,1028144.06,0.0,2002-10
2002-10-18,1028616.7,0.0004597247,1028616.7,0.0,2002-10
2002-10-21,1029553.0,0.00091024046,1029553.0,0.0,2002-10
2002-10-22,1023708.6,-0.0056766453,1029553.0,-0.005676627,2002-10
2002-10-23,1025279.1,0.0015341282,1029553.0,-0.0041511655,2002-10
2002-10-24,1019461.56,-0.0056741303,1029553.0,-0.009801745,2002-10
2002-10-25,1037174.7,0.017374977,1037174.7,0.0,2002-10
2002-10-28,1035971.75,-0.0011598706,1037174.7,-0.0011598468,2002-10
