date,equity,month_ret,peak,dd
2002-09-30,999664.7,-0.0003353129,999664.7,0.0
2002-10-31,1048740.8,0.04909253,1048740.8,0.0
2002-11-29,1101968.1,0.05075363,1101968.1,0.0
2002-12-31,1068312.9,-0.030541055,1101968.1,-0.030541062
2003-01-31,1079998.1,0.010937991,1101968.1,-0.019937038
2003-02-28,1079378.4,-0.0005738307,1101968.1,-0.020499468
2003-03-31,1112666.4,0.030839967,1112666.4,0.0
2003-04-30,1148344.4,0.032065324,1148344.4,0.0
2003-05-30,1239116.2,0.07904592,1239116.2,0.0
2003-06-30,1207017.5,-0.025904508,1239116.2,-0.025904536
2003-07-31,1216549.9,0.007897517,1239116.2,-0.018211663
2003-08-29,1267717.2,0.042059433,1267717.2,0.0
2003-09-30,1228672.6,-0.030799147,1267717.2,-0.03079915
2003-10-31,1253690.2,0.020361595,1267717.2,-0.011064768
2003-11-28,1348171.4,0.07536247,1348171.4,0.0
2003-12-31,1342432.4,-0.004256816,1348171.4,-0.004256904
2004-01-30,1330448.6,-0.0089269355,1348171.4,-0.013145745
2004-02-27,1315541.9,-0.011204315,1348171.4,-0.024202764
2004-03-31,1333739.4,0.013832679,1348171.4,-0.010704875
2004-04-30,1237760.2,-0.07196249,1348171.4,-0.08189696
2004-05-28,1248153.8,0.008396927,1348171.4,-0.07418764
2004-06-30,1265026.4,0.013518135,1348171.4,-0.06167245
2004-07-30,1208169.5,-0.04494516,1348171.4,-0.103845775
2004-08-31,1212216.1,0.003349424,1348171.4,-0.100844204
2004-09-30,1235053.2,0.01883911,1348171.4,-0.08390486
2004-10-29,1258921.9,0.019325983,1348171.4,-0.066200435
2004-11-30,1342056.4,0.06603627,1348171.4,-0.0045357943
2004-12-31,1340736.4,-0.0009835574,1348171.4,-0.00551486
2005-01-31,1356808.1,0.011987187,1356808.1,0.0
2005-02-28,1390996.1,0.02519741,1390996.1,0.0
2005-03-31,1365564.1,-0.018283319,1390996.1,-0.018283308
2005-04-29,1351785.0,-0.0100904405,1390996.1,-0.028189242
2005-05-31,1368367.0,0.0122667495,1390996.1,-0.016268313
2005-06-30,1402204.0,0.024728028,1402204.0,0.0
2005-07-29,1433147.9,0.02206801,1433147.9,0.0
2005-08-31,1440654.8,0.0052380036,1440654.8,0.0
2005-09-30,1439585.8,-0.0007420399,1440654.8,-0.0007420182
2005-10-31,1379105.4,-0.042012345,1440654.8,-0.04272318
2005-11-30,1386273.8,0.0051979255,1440654.8,-0.037747443
2005-12-30,1401001.9,0.01062428,1440654.8,-0.027524233
2006-01-31,1520263.8,0.08512619,1520263.8,0.0
2006-02-28,1494503.9,-0.016944377,1520263.8,-0.016944349
2006-03-31,1593455.8,0.0662105,1593455.8,0.0
2006-04-28,1567592.9,-0.016230725,1593455.8,-0.016230702
2006-05-31,1529599.8,-0.024236593,1593455.8,-0.04007393
2006-06-30,1568340.2,0.025327189,1593455.8,-0.015761673
2006-07-31,1550442.2,-0.011412071,1593455.8,-0.02699387
2006-08-31,1549344.9,-0.000707787,1593455.8,-0.027682543
2006-09-29,1583442.4,0.022007732,1593455.8,-0.006284058
2006-10-31,1616630.5,0.020959444,1616630.5,0.0
2006-11-30,1606385.5,-0.006337247,1616630.5,-0.0063372254
2006-12-29,1591742.9,-0.00911529,1616630.5,-0.015394747
2007-01-31,1597607.9,0.0036846688,1616630.5,-0.011766851
2007-02-28,1594864.1,-0.0017173616,1616630.5,-0.013464034
2007-03-30,1657068.1,0.039002616,1657068.1,0.0
2007-04-30,1689061.4,0.01930716,1689061.4,0.0
2007-05-31,1738055.5,0.02900669,1738055.5,0.0
2007-06-29,1731441.0,-0.003805675,1738055.5,-0.003805697
2007-07-31,1748827.0,0.010041347,1748827.0,0.0
2007-08-31,1772620.9,0.013605594,1772620.9,0.0
2007-09-28,1837880.4,0.03681523,1837880.4,0.0
2007-10-31,1823799.2,-0.007661614,1837880.4,-0.0076616406
2007-11-30,1768361.6,-0.030396756,1837880.4,-0.037825525
2007-12-31,1769099.6,0.00041738723,1837880.4,-0.03742397
2008-01-31,1705873.9,-0.03573894,1837880.4,-0.071825385
2008-02-29,1744154.9,0.022440614,1837880.4,-0.050996542
2008-03-31,1733442.0,-0.0061421636,1837880.4,-0.05682546
2008-04-30,1780620.9,0.027216883,1837880.4,-0.031155169
2008-05-30,1795515.2,0.008364627,1837880.4,-0.023051083
2008-06-30,1824776.8,0.016296988,1837880.4,-0.007129729
2008-07-31,1724187.6,-0.05512412,1837880.4,-0.0618608
2008-08-29,1695014.9,-0.016919736,1837880.4,-0.077733815
2008-09-30,1632768.8,-0.03672305,1837880.4,-0.11160225
2008-10-31,1617956.5,-0.0090719,1837880.4,-0.11966169
2008-11-28,1634356.4,0.010136142,1837880.4,-0.110738456
2008-12-31,1627292.2,-0.0043222886,1837880.4,-0.11458206
2009-01-30,1527816.4,-0.061129704,1837880.4,-0.16870737
2009-02-27,1473476.8,-0.035566892,1837880.4,-0.19827384
2009-03-31,1524540.6,0.03465531,1837880.4,-0.17048973
2009-04-30,1498681.5,-0.016961899,1837880.4,-0.18455982
2009-05-29,1448475.9,-0.033499915,1837880.4,-0.21187693
2009-06-30,1455268.4,0.0046894355,1837880.4,-0.20818114
2009-07-31,1545409.8,0.06194143,1837880.4,-0.15913475
2009-08-31,1623357.0,0.050437875,1837880.4,-0.11672324
2009-09-30,1666192.6,0.026387148,1837880.4,-0.093416154
2009-10-30,1584693.0,-0.048913747,1837880.4,-0.13776052
2009-11-30,1575937.8,-0.0055248495,1837880.4,-0.1425243
2009-12-31,1636266.0,0.03828079,1837880.4,-0.10969943
2010-01-29,1592518.0,-0.02673647,1837880.4,-0.1335029
2010-02-26,1613701.0,0.013301648,1837880.4,-0.12197715
2010-03-31,1707136.8,0.057901446,1837880.4,-0.07113826
2010-04-30,1651026.8,-0.03286791,1837880.4,-0.101668
