date,equity,port_ret,peak,dd,ym
2002-08-02,977585.06,-0.022414923,977585.06,0.0,2002-08
2002-08-05,943568.3,-0.034796715,977585.06,-0.034796715,2002-08
2002-08-06,975332.1,0.03366351,977585.06,-0.0023046136,2002-08
2002-08-07,992340.5,0.01743853,992340.5,0.0,2002-08
2002-08-08,1024442.3,0.032349586,1024442.3,0.0,2002-08
2002-08-09,1028272.0,0.003738284,1028272.0,0.0,2002-08
2002-08-12,1020725.25,-0.007339239,1028272.0,-0.007339239,2002-08
2002-08-13,1002140.0,-0.018207908,1028272.0,-0.025413513,2002-08
2002-08-14,1038747.25,0.036529064,1038747.25,0.0,2002-08
2002-08-15,1053165.0,0.013879895,1053165.0,0.0,2002-08
2002-08-16,1050011.2,-0.002994597,1053165.0,-0.0029945374,2002-08
2002-08-19,1074566.4,0.023385525,1074566.4,0.0,2002-08
2002-08-20,1063189.9,-0.010587037,1074566.4,-0.010587037,2002-08
2002-08-21,1078508.5,0.014408231,1078508.5,0.0,2002-08
2002-08-22,1088983.9,0.009712815,1088983.9,0.0,2002-08
2002-08-23,1065555.1,-0.021514297,1088983.9,-0.021514297,2002-08
2002-08-26,1072989.4,0.006976843,1088983.9,-0.014687538,2002-08
2002-08-27,1060599.2,-0.011547327,1088983.9,-0.02606523,2002-08
2002-08-28,1037395.75,-0.021877706,1088983.9,-0.0473727,2002-08
2002-08-29,1037846.25,0.00043427944,1088983.9,-0.046959043,2002-08
2002-08-30,1033791.3,-0.0039070845,1088983.9,-0.050682604,2002-08
2002-09-03,994368.0,-0.038134694,1088983.9,-0.08688456,2002-09
2002-09-04,1008560.44,0.014272809,1088983.9,-0.073851824,2002-09
2002-09-05,999999.9,-0.00848788,1088983.9,-0.0817129,2002-09
2002-09-06,1013741.75,0.013741851,1088983.9,-0.06909388,2002-09
2002-09-09,1021175.94,0.007333398,1088983.9,-0.062267184,2002-09
2002-09-10,1032890.25,0.011471391,1088983.9,-0.051510036,2002-09
2002-09-11,1026469.94,-0.0062158704,1088983.9,-0.05740577,2002-09
2002-09-12,1007546.7,-0.01843524,1088983.9,-0.07478273,2002-09
2002-09-13,1010024.75,0.002459526,1088983.9,-0.07250714,2002-09
2002-09-16,1012502.8,0.0024534464,1088983.9,-0.07023156,2002-09
2002-09-17,989299.44,-0.022916853,1088983.9,-0.091538966,2002-09
2002-09-18,979387.3,-0.010019362,1088983.9,-0.10064113,2002-09
2002-09-19,954043.7,-0.025876999,1088983.9,-0.123913825,2002-09
2002-09-20,954361.7,0.00033330917,1088983.9,-0.12362182,2002-09
2002-09-23,946554.9,-0.008180141,1088983.9,-0.13079071,2002-09
2002-09-24,931280.5,-0.016136825,1088983.9,-0.144817,2002-09
2002-09-25,954361.7,0.024784327,1088983.9,-0.12362182,2002-09
2002-09-26,969975.44,0.016360402,1088983.9,-0.109283924,2002-09
2002-09-27,936258.8,-0.034760296,1088983.9,-0.1402455,2002-09
2002-09-30,925397.06,-0.01160121,1088983.9,-0.15021968,2002-09
2002-10-01,969862.3,0.048049927,1088983.9,-0.109387815,2002-10
2002-10-02,940784.56,-0.029981315,1088983.9,-0.13608956,2002-10
2002-10-03,931280.5,-0.010102272,1088983.9,-0.144817,2002-10
2002-10-04,914195.94,-0.018345237,1088983.9,-0.16050553,2002-10
2002-10-07,895301.06,-0.020668328,1088983.9,-0.17785645,2002-10
2002-10-08,909330.8,0.015670419,1088983.9,-0.16497314,2002-10
2002-10-09,883647.3,-0.028244376,1088983.9,-0.18855792,2002-10
2002-10-10,912272.44,0.03239429,1088983.9,-0.16227186,2002-10
2002-10-11,952212.0,0.043780327,1088983.9,-0.12559587,2002-10
2002-10-14,957529.6,0.0055844784,1088983.9,-0.12071276,2002-10
2002-10-15,1003578.8,0.04809165,1088983.9,-0.07842636,2002-10
2002-10-16,979253.2,-0.024238884,1088983.9,-0.100764275,2002-10
2002-10-17,998713.7,0.019872785,1088983.9,-0.08289397,2002-10
2002-10-18,1002900.06,0.0041917562,1088983.9,-0.07904965,2002-10
2002-10-21,1020210.94,0.01726079,1088983.9,-0.06315333,2002-10
2002-10-22,1012856.6,-0.0072086453,1088983.9,-0.06990671,2002-10
2002-10-23,1020550.44,0.007596135,1088983.9,-0.062841535,2002-10
2002-10-24,999732.2,-0.020399034,1088983.9,-0.08195871,2002-10
2002-10-25,1020550.44,0.020823836,1088983.9,-0.062841535,2002-10
2002-10-28,1013875.0,-0.0065410137,1088983.9,-0.068971515,2002-10
2002-10-29,1002108.1,-0.011605859,1088983.9,-0.07977688,2002-10
2002-10-30,1011838.44,0.009709835,1088983.9,-0.07084167,2002-10
2002-10-31,1001542.4,-0.010175586,1088983.9,-0.0802964,2002-10
2002-11-01,1021342.44,0.01976955,1088983.9,-0.0621143,2002-11
2002-11-04,1031072.75,0.009526968,1088983.9,-0.053179026,2002-11
2002-11-05,1039218.94,0.007900715,1088983.9,-0.045698524,2002-11
2002-11-06,1052683.1,0.012956023,1088983.9,-0.033334494,2002-11
2002-11-07,1026886.5,-0.024505615,1088983.9,-0.057023227,2002-11
2002-11-08,1014327.56,-0.012230098,1088983.9,-0.06855595,2002-11
2002-11-11,998600.7,-0.015504718,1088983.9,-0.08299774,2002-11
2002-11-12,1006520.7,0.007931113,1088983.9,-0.0757249,2002-11
2002-11-13,1007539.0,0.0010117292,1088983.9,-0.07478976,2002-11
2002-11-14,1026547.06,0.018865824,1088983.9,-0.0573349,2002-11
2002-11-15,1034127.6,0.0073845387,1088983.9,-0.050373793,2002-11
2002-11-18,1023718.5,-0.010065615,1088983.9,-0.05993235,2002-11
2002-11-19,1022360.75,-0.0013263226,1088983.9,-0.06117916,2002-11
2002-11-20,1045102.5,0.022244334,1088983.9,-0.04029572,2002-11
2002-11-21,1064563.1,0.01862073,1088983.9,-0.022425234,2002-11
2002-11-22,1056982.5,-0.0071208477,1088983.9,-0.02938646,2002-11
2002-11-25,1057661.4,0.00064229965,1088983.9,-0.028763056,2002-11
2002-11-26,1037521.9,-0.019041538,1088983.9,-0.047256887,2002-11
2002-11-27,1066712.8,0.02813518,1088983.9,-0.020451307,2002-11
2002-11-29,1063318.5,-0.003181994,1088983.9,-0.023568213,2002-11
2002-12-02,1065015.6,0.0015960932,1088983.9,-0.02200973,2002-12
2002-12-03,1050759.8,-0.0133856535,1088983.9,-0.0351007,2002-12
2002-12-04,1046007.6,-0.004522562,1088983.9,-0.039464533,2002-12
2002-12-05,1034467.06,-0.011032939,1088983.9,-0.05006212,2002-12
2002-12-06,1041255.6,0.006562352,1088983.9,-0.04382825,2002-12
2002-12-09,1012630.44,-0.027491033,1088983.9,-0.070114374,2002-12
2002-12-10,1026207.6,0.013407826,1088983.9,-0.057646632,2002-12
2002-12-11,1027112.75,0.00088202953,1088983.9,-0.056815445,2002-12
2002-12-12,1026999.6,-0.00011014938,1088983.9,-0.056919336,2002-12
2002-12-13,1010820.2,-0.015754104,1088983.9,-0.07177669,2002-12
2002-12-16,1036956.2,0.025856256,1088983.9,-0.04777634,2002-12
2002-12-17,1027904.75,-0.008728862,1088983.9,-0.05608821,2002-12
2002-12-18,1016024.8,-0.01155746,1088983.9,-0.06699735,2002-12
2002-12-19,1008783.7,-0.0071269274,1088983.9,-0.073646784,2002-12
2002-12-20,1023176.06,0.014267087,1088983.9,-0.060430467,2002-12
2002-12-23,1023517.2,0.00033342838,1088983.9,-0.060117245,2002-12
2002-12-24,1016013.1,-0.0073316693,1088983.9,-0.06700814,2002-12
2002-12-26,1016354.2,0.00033569336,1088983.9,-0.066694915,2002-12
2002-12-27,993500.7,-0.022485733,1088983.9,-0.087680995,2002-12
2002-12-30,1001800.7,0.008354306,1088983.9,-0.08005923,2002-12
2002-12-31,1003165.1,0.0013619661,1088983.9,-0.07880628,2002-12
2003-01-02,1035455.56,0.032188535,1088983.9,-0.04915434,2003-01
2003-01-03,1038639.1,0.0030745268,1088983.9,-0.046230912,2003-01
2003-01-06,1056944.6,0.017624497,1088983.9,-0.02942121,2003-01
2003-01-07,1054329.6,-0.0024741292,1088983.9,-0.031822562,2003-01
2003-01-08,1039093.94,-0.01445061,1088983.9,-0.045813322,2003-01
2003-01-09,1055239.2,0.015537858,1088983.9,-0.030987263,2003-01
2003-01-10,1058081.8,0.002693653,1088983.9,-0.028377056,2003-01
