Norgate Coverage Report
Generated: 2026-04-10T10:35:21.055704
Start date: 2020-01-01
======================================================================

SUMMARY
  Target tickers:    847
  Retrieved:         846 (100%)
  Failed:            1
  Panel rows:        1,444,411
  Date range:        2020-01-02 ~ 2026-04-09
  Trading days:      1575

THEME COVERAGE
Theme                                    Total Avail     %                        Missing
------------------------------------------------------------------------------------------
activewear                                   6     6  100%                               
ad-tech                                      6     6  100%                               
advertising-platforms                        6     6  100%                               
aggregates-concrete                          7     7  100%                               
agribusiness                                 2     2  100%                               
ai-infrastructure-software                   4     4  100%                               
ai-pharma                                    7     7  100%                               
ai-semiconductor-core                        5     5  100%                               
ai-server-odm                                3     3  100%                               
airlines-lcc                                 2     2  100%                               
airlines-legacy                              3     3  100%                               
alcoholic-beverages                          5     5  100%                               
alminium                                     2     2  100%                               
american-casual                              6     6  100%                               
analog-semi-comm                             2     2  100%                               
analog-semi-generic                          3     3  100%                               
analog-semi-power                            2     2  100%                               
analog-semi-sensor                           4     4  100%                               
apple-intelligence                           6     6  100%                               
auto-maintenance                             3     3  100%                               
auto-parts                                   6     6  100%                               
autonomous                                   5     5  100%                               
battery-storage                              4     4  100%                               
beverages-diversified                        5     5  100%                               
biotech-diversified                          5     5  100%                               
biotech-genomics                             6     6  100%                               
biotech-specialized                          3     3  100%                               
bnpl                                         3     3  100%                               
cable-tv                                     2     2  100%                               
cafe                                         2     2  100%                               
capital-equipment-leasing                    5     5  100%                               
cdn                                          3     3  100%                               
china-ai                                     5     5  100%                               
chinese-ev                                   3     3  100%                               
coking-coal                                  6     6  100%                               
commodity-chemicals                          2     2  100%                               
confectionery                                3     3  100%                               
consulting                                   4     4  100%                               
consumer-lending                            10    10  100%                               
consumer-staples                             9     9  100%                               
content-studios                              4     4  100%                               
copper-mining                                8     8  100%                               
corrugated-paper-packaging                   5     5  100%                               
cosmetics-personal-care                      5     5  100%                               
cpu                                          3     3  100%                               
cruise-lines                                 4     4  100%                               
crypto                                       8     8  100%                               
custom-ai-chips                              6     6  100%                               
cybersecurity-cloud                          2     2  100%                               
cybersecurity-data                           2     2  100%                               
cybersecurity-end                            2     2  100%                               
cybersecurity-gen                            3     3  100%                               
cybersecurity-other                          4     4  100%                               
data-storage                                 4     4  100%                               
dc-optical-device                            9     9  100%                               
dc-optical-ems                               5     5  100%                               
dc-optical-semi                              6     6  100%                               
dc-rack-connect                              3     3  100%                               
defence-comm                                 7     7  100%                               
defence-engine                               3     3  100%                               
