theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
semi-equip-back,半導体製造装置：後工程,1,テクノロジー,-7353553248731201697,5,20260410,2026-04-10T09:51:18.174664
memory-shortage,DRAM品薄,2,テクノロジー,5648970175698012146,7,20260410,2026-04-10T09:51:18.174664
dc-optical-device,光接続：インフラ,3,テクノロジー,4020720466929056624,9,20260410,2026-04-10T09:51:18.174664
analog-semi-power,アナログ半導体：パワー,4,テクノロジー,4645956862757331788,2,20260410,2026-04-10T09:51:18.174664
semi-equip-front,半導体製造装置：前工程,5,テクノロジー,1269612521270082604,5,20260410,2026-04-10T09:51:18.174664
dc-optical-ems,光接続：トランシーバ,6,テクノロジー,-89703553420033087,5,20260410,2026-04-10T09:51:18.174664
earth-observation,宇宙：地球観測,7,資本財,7922618748043990695,4,20260410,2026-04-10T09:51:18.174664
cruise-lines,クルーズ船,8,消費者一般,7661148182633678631,4,20260410,2026-04-10T09:51:18.174664
data-storage,データストレージ,9,テクノロジー,4536831655410847257,4,20260410,2026-04-10T09:51:18.174664
semi-component,半導体製造装置：部品,10,テクノロジー,9033424831762423156,4,20260410,2026-04-10T09:51:18.174664
next-gen-power-supply,次世代電源,11,テクノロジー,2245296119820495358,6,20260410,2026-04-10T09:51:18.174664
defence-maintenance,防衛：保守部品・MRO,12,資本財,-6605097740422051201,5,20260410,2026-04-10T09:51:18.174664
copper-mining,銅鉱山,13,素材,-285548918019152913,8,20260410,2026-04-10T09:51:18.174664
semi-consumables,半導体：材料・消耗品,14,テクノロジー,6244932611081665762,6,20260410,2026-04-10T09:51:18.174664
housing-infrastructure,建築塗料,15,素材,6821201677666599574,2,20260410,2026-04-10T09:51:18.174664
luxury,ラグジュアリー,16,消費者一般,6656164949238665806,2,20260410,2026-04-10T09:51:18.174664
airlines-lcc,旅客航空：LCC,17,消費者一般,-4680605806787280101,2,20260410,2026-04-10T09:51:18.174664
foundry,半導体受託製造,18,テクノロジー,-989781870910905983,8,20260410,2026-04-10T09:51:18.174664
humanoid-bones,人型ロボ：筋骨・神経,19,テクノロジー,-3485570319701669040,6,20260410,2026-04-10T09:51:18.174664
rare-earth,レアアース,20,素材,-7146898319526645993,12,20260410,2026-04-10T09:51:18.174664
neo-cloud,ネオクラウド,21,テクノロジー,1819992441026860551,10,20260410,2026-04-10T09:51:18.174664
heat-infra,熱管理インフラ,22,テクノロジー,1338944863911046173,6,20260410,2026-04-10T09:51:18.174664
graphite,グラファイト,23,素材,4932069018920445156,4,20260410,2026-04-10T09:51:18.174664
defence-engine,防衛：推進システム,24,資本財,7542142313402985621,3,20260410,2026-04-10T09:51:18.174664
re-tech,不動産テック,25,不動産,4526589422865468570,2,20260410,2026-04-10T09:51:18.174664
nuclear-nextgen,原発機器（次世代）,26,エネルギー,-3567311578856126262,4,20260410,2026-04-10T09:51:18.174664
cpu,CPU,27,テクノロジー,7310739200020919928,3,20260410,2026-04-10T09:51:18.174664
robotics-industrial,ロボ：産業/医療,28,テクノロジー,-7968675273039840900,3,20260410,2026-04-10T09:51:18.174664
lifestyle-furniture,ライフスタイル・家具,29,消費者一般,6052462187255706243,4,20260410,2026-04-10T09:51:18.174664
custom-ai-chips,カスタムAI半導体,30,テクノロジー,-6476149611150750583,6,20260410,2026-04-10T09:51:18.174664
ai-server-odm,AIサーバ：受託製造,31,テクノロジー,-45665759805323631,3,20260410,2026-04-10T09:51:18.174664
onsite-power,オンサイト電源,32,テクノロジー,1577037612365665232,5,20260410,2026-04-10T09:51:18.174664
machinery-construction-ag,機械：建設/農業/資源,33,資本財,2298366658084014772,5,20260410,2026-04-10T09:51:18.174664
pub-construction-transpo,インフラ工事：交通,34,資本財,1165263859629954862,2,20260410,2026-04-10T09:51:18.174664
apple-intelligence,Appleインテリジェンス,35,テクノロジー,-5674236659584417149,6,20260410,2026-04-10T09:51:18.174664
infra-contractors,電気工事・施工,36,資本財,6836013661526384138,5,20260410,2026-04-10T09:51:18.174664
aggregates-concrete,骨材・基礎資材,37,素材,-8578027520639195695,7,20260410,2026-04-10T09:51:18.174664
analog-semi-generic,アナログ半導体：汎用,38,テクノロジー,-8353900740122241120,3,20260410,2026-04-10T09:51:18.174664
industrial-batteries,産業用電池,39,エネルギー,5172869237076839936,3,20260410,2026-04-10T09:51:18.174664
home-exterior,住宅設備：外装,40,消費者一般,-4017407255570822310,6,20260410,2026-04-10T09:51:18.174664
nuclear-traditional,原発機器（現行）,41,エネルギー,3134135563372469403,4,20260410,2026-04-10T09:51:18.174664
airlines-legacy,旅客航空：メガキャリア,42,消費者一般,-2297333709863686580,3,20260410,2026-04-10T09:51:18.174664
power-infra,電源インフラ,43,資本財,-6525728031864444455,6,20260410,2026-04-10T09:51:18.174664
american-casual,アメカジ,44,消費者一般,3215159256264144038,6,20260410,2026-04-10T09:51:18.174664
eVTOL,eVTOL,45,テクノロジー,-9167386334238009553,5,20260410,2026-04-10T09:51:18.174664
humanoid-eyes,人型ロボ：目,46,テクノロジー,4548429989563748111,3,20260410,2026-04-10T09:51:18.174664
mortgage-origination,住宅ローン組成,47,金融,6376436552733282789,3,20260410,2026-04-10T09:51:18.174664
robotics-logistics,ロボ：物流/サービス,48,テクノロジー,4726175873238132563,6,20260410,2026-04-10T09:51:18.174664
home-distribution,住宅設備：流通,49,消費者一般,4975313750440121831,5,20260410,2026-04-10T09:51:18.174664
home-interior,住宅設備：屋内,50,消費者一般,-4501087253600164911,5,20260410,2026-04-10T09:51:18.174664
investment-banking,投資銀行,51,金融,-5187875316488989567,6,20260410,2026-04-10T09:51:18.174664
