ticker,name,bottleneck_score,driver_dc,driver_inp,driver_lpo,driver_eth,driver_ocs,driver_copper,driver_100t,driver_lta,driver_china,driver_cycle
COHR,Coherent,1.0,1.00,1.00,0.25,1.00,1.00,1.00,0.50,1.00,1.00,0.50
LITE,Lumentum,1.0,1.00,1.00,0.25,1.00,1.00,1.00,0.50,1.00,0.50,0.50
SITM,SiTime,1.0,0.50,0.00,0.50,0.50,1.00,0.50,0.25,0.25,0.25,1.00
FN,Fabrinet,0.7,1.00,0.50,0.50,1.00,1.00,0.50,0.25,1.00,1.00,0.50
CLS,Celestica,0.7,1.00,0.00,0.25,1.00,0.50,0.50,0.50,1.00,1.00,0.25
MRVL,Marvell,0.7,1.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,0.50
AAOI,Applied Optoelectronics,0.6,1.00,1.00,0.00,1.00,0.25,0.25,0.00,1.00,1.00,0.50
MTSI,MACOM,0.6,1.00,1.00,1.00,1.00,0.50,0.50,0.25,0.50,1.00,0.50
GLW,Corning,0.5,1.00,0.00,0.00,0.50,0.50,1.00,0.00,1.00,1.00,0.00
CIEN,Ciena,0.5,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.50,0.25,0.00
AVGO,Broadcom,0.5,1.00,0.00,0.25,1.00,0.50,1.00,1.00,0.50,0.50,0.00
ANET,Arista,0.4,1.00,0.00,0.25,1.00,0.50,1.00,0.50,0.50,0.50,0.00
KEYS,Keysight,0.4,0.50,0.00,0.50,0.50,1.00,0.50,0.25,0.00,0.50,1.00
VIAV,VIAV Solutions,0.3,1.00,0.00,0.25,0.50,0.50,0.50,0.00,0.00,0.50,1.00
CSCO,Cisco,0.2,1.00,0.00,1.00,1.00,0.50,0.25,1.00,0.50,0.50,0.00
HPE,HPE,0.2,0.50,0.00,0.00,0.50,0.00,0.25,0.50,0.25,0.50,0.00
DELL,Dell,0.1,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.00
